,municipality_code,avg_net_salary,year
196,06104,26226.96288618115,1970-01-01
197,06105,47577.95738330126,1970-01-01
198,06108,31294.504654018794,1970-01-01
199,06112,40135.19688634457,1970-01-01
200,06114,25104.292439053646,1970-01-01
201,06118,29692.442579033595,1970-01-01
202,06122,33675.43157933027,1970-01-01
203,06123,27595.61466674904,1970-01-01
204,06126,26350.70120912247,1970-01-01
205,06128,36429.63832338213,1970-01-01
206,06130,28576.832113182812,1970-01-01
207,06136,23414.657781419093,1970-01-01
208,06140,29478.471183522637,1970-01-01
209,06147,27016.10734921608,1970-01-01
210,06148,35112.670755420986,1970-01-01
211,06149,23974.26131752397,1970-01-01
212,06150,29219.28693779313,1970-01-01
213,06152,40060.13361757772,1970-01-01
214,06155,26896.733350358867,1970-01-01
215,06157,30497.891753020867,1970-01-01
216,06159,29928.16092960676,1970-01-01
217,06161,29991.31106333835,1970-01-01
218,06163,21367.69723330606,1970-01-01
219,07010,23912.167193147143,1970-01-01
220,07019,22310.922239602358,1970-01-01
221,07041,25427.47298466557,1970-01-01
222,07042,24565.033725589445,1970-01-01
223,07055,26874.868913391412,1970-01-01
224,07064,25341.512506524214,1970-01-01
225,07066,24729.905892307244,1970-01-01
226,07070,25997.288068835718,1970-01-01
227,07076,26785.56292209871,1970-01-01
228,07078,25824.692159128223,1970-01-01
229,07102,26882.41362420596,1970-01-01
230,07117,22446.431751474825,1970-01-01
231,07129,21921.950438125183,1970-01-01
232,07138,23108.358280624707,1970-01-01
233,07172,27795.64050533106,1970-01-01
234,07181,22855.099852654526,1970-01-01
235,07186,23086.5902220479,1970-01-01
236,07191,25437.51293791908,1970-01-01
237,07197,24630.07970935585,1970-01-01
238,07201,19836.89404470792,1970-01-01
239,07204,22377.62190426981,1970-01-01
240,07231,24920.245152102118,1970-01-01
241,07240,28975.745576008685,1970-01-01
242,07245,27020.48089499268,1970-01-01
243,07264,27973.43446983831,1970-01-01
244,07281,30278.003759968145,1970-01-01
245,07308,24365.174258204774,1970-01-01
246,07316,28844.570651140784,1970-01-01
247,07319,22584.92998511459,1970-01-01
248,07324,25429.05230881306,1970-01-01
249,07325,25199.745102042783,1970-01-01
