municipality_code,city_name,operation_cost
61321,Pacé,2570000.0
61420,Sainte-Marie-la-Robert,1227882.0
61443,Saint-Paul,737219.0
61457,Saint-Symphorien-des-Bruyères,17322594.0
62119,Béthune,25311000.0
62193,Calais,310454.0
62384,Graincourt-lès-Havrincourt,604788.21
62386,Grenay,320200.0
62582,Monchy-le-Preux,4780410.55
63113,Clermont-Ferrand,7862290.71
63178,Issoire,225000.0
63465,Viverols,228547.0
64284,Jurançon,1451550.0
64445,Pau,20606821.0
64460,Précilhon,2076484.37
64462,Ramous,393000.0
64492,Saint-Michel,630459.45
65059,Bagnères-de-Bigorre,552831.0
65062,Barbazan-Debat,137545.0
65258,Lannemezan,4388550.0
65282,Loudenvielle,98000.0
65313,Momères,5191334.0
65391,Sainte-Marie,287442.47
65394,Saint-Paul,737219.0
65397,Saint-Sever-de-Rustan,5585000.0
66103,Marquixanes,865100.0
66105,Matemale,70000.0
66130,Osséja,1372555.0
67021,Barr,11000.0
67028,Benfeld,4500000.0
67152,Geispolsheim,1070850.0
67192,Herbsheim,4386050.0
67263,Lembach,3020.0
67267,Lingolsheim,910000.0
67274,Lorentzen,4622235.0
67350,Oberschaeffolsheim,700000.0
67368,Ottrott,24000.0
67404,Rittershoffen,9599996.0
67429,Saint-Pierre,1628779.45
67482,Strasbourg,4971850.0
67535,Wimmenau,255779.39
68066,Colmar,1396540.0
68107,Gommersdorf,5388583.0
68175,Lapoutroie,3000.0
68208,Michelbach-le-Haut,98116.17
68223,Muhlbach-sur-Munster,6000.0
68224,Mulhouse,26268000.0
68277,Riquewihr,3145.0
68278,Rixheim,3081000.0
68286,Rosenau,97025.0
68297,Saint-Louis,509179.0
68300,Sausheim,1061000.0
68311,Sondernach,6600.0
68342,Uffholtz,9500.0
68365,Wettolsheim,1888700.0
68375,Wittelsheim,638400.82
69056,Chessy,2404500.0
69066,Cours,935000.0
69105,Lacenas,145500.0
69123,Lyon,8399650.0
69145,Odenas,1263939.97
69149,Oullins,2650.0
69152,Pierre-Bénite,679400.0
69163,Quincieux,226305.0
69248,Thizy-les-Bourgs,1470000.0
69266,Villeurbanne,909629.29
69277,Genas,66245.0
70310,Lure,2600000.0
70455,Roye,2330527.0
70464,Saint-Germain,4860000.0
71056,Branges,6797690.0
71076,Chalon-sur-Saône,5400000.0
